RESULT_COUNT: 3852,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
OWNER_CIK,OWNER_NAME,FILING_DATE,FILING_URL,DIRECTOR,OFFICER,TEN_PERCENT_OWNER,OTHER_RELATION,OFFICER_TITLE,DERIVATIVE_TRANSACTION,SECURITY_TITLE,CONVERSION_EXERCISE_PRICE,TRANSACTION_DATE,DEEMED_EXECUTION_DATE,TRANSACTION_TYPE_CODE,ACQUISITION_DISPOSITION_CODE,AMOUNT_OF_SHARES,EXERCISE_DATE,EXPIRATION_DATE,UNDERLYING_SECURITY_TITLE,UNDERLYING_SHARES,TRANSACTION_PRICE,TOTAL_SHARES_OWNED,OWNERSHIP_TYPE_CODE,REPORT_LINE_NUMBER
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,17281.7138,D,2
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,5507.477,I,3
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,741.0,D,4
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,1772.0,D,5
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2147.0,D,6
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2785.0,D,7
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2591.0,D,8
0001238404,CACERES R LOUIS,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012016/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,2017-03-15,,A,A,2795.0,,,,,0.0,2795.0,D,1
0001238404,CACERES R LOUIS,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012016/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,17535.949,D,2
0001238404,CACERES R LOUIS,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012016/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,1016.0,D,3
